,Aspect,Elevation,Hillshade_3pm,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Slope,Soil_Type1,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type17,Soil_Type2,Soil_Type22,Soil_Type23,Soil_Type29,Soil_Type3,Soil_Type30,Soil_Type35,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type4,Soil_Type40,Soil_Type5,Soil_Type6,Vertical_Distance_To_Hydrology,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4
0,51,2596,148,221,232,6279,258,510,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,56,2590,151,220,235,6225,212,390,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,1,0,0,0
2,139,2804,135,234,238,6121,268,3180,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0
3,155,2785,122,238,238,6211,242,3090,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,118,1,0,0,0
4,45,2595,150,220,234,6172,153,391,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
5,132,2579,140,230,237,6031,300,67,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-15,1,0,0,0
6,45,2606,138,222,225,6256,270,633,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
7,49,2605,144,222,230,6228,234,573,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
8,45,2617,133,223,221,6244,240,666,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0
9,59,2612,124,228,219,6230,247,636,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
10,201,2612,161,218,243,6222,180,735,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0
11,151,2886,136,234,240,4051,371,5253,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0
12,134,2742,92,248,224,6091,150,3215,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,1,0,0,0
13,214,2609,170,213,247,6211,150,771,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0
14,157,2503,151,224,240,5600,67,674,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
15,51,2495,137,224,225,5576,42,752,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
16,259,2610,161,216,239,6096,120,607,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
17,72,2517,133,228,227,5607,85,595,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
18,0,2504,156,214,232,5572,95,691,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
19,38,2503,144,220,228,5555,85,741,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
20,71,2501,126,230,223,5547,60,767,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
21,209,2880,179,206,253,4323,216,4986,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,1,0,0,0
22,114,2768,71,252,209,5972,192,3339,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,0,0,0
23,54,2511,130,225,222,5569,124,638,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,22,2507,143,215,221,5534,120,732,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0
25,135,2492,142,229,237,5494,0,860,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,163,2489,145,230,243,5486,30,849,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,0,0,0
27,148,2962,120,240,236,3395,323,5916,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0
28,135,2811,154,220,238,5643,212,3670,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0
29,117,2739,71,253,210,6033,127,3281,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,1,0,0,0
30,122,2703,52,254,201,6123,67,3191,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0,0,0
31,105,2522,130,233,231,5569,120,595,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32,102,2519,137,230,233,5559,124,616,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
33,23,2516,147,216,227,5541,150,658,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
34,41,2515,133,221,220,5532,162,680,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
35,45,2900,100,221,195,4115,242,5199,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
36,125,2709,61,253,207,6094,67,3224,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0,0,0
37,92,2511,131,231,229,5494,182,722,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0
38,98,2749,36,252,183,6005,124,3316,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,1,0,0,0
39,354,2686,157,200,219,6155,0,3167,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
